txt_id,sen_ix,sentence,label_seq,pos_seq,labeled_sentence,genre
a3m-fragment02,45,"Design : Crossed lines over the toytown tram : City transport could soon be back on the right track , says Jonathan Glancey","[0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0]","['NOUN', 'PUNCT', 'ADJ', 'NOUN', 'ADP', 'DET', 'ADJ', 'NOUN', 'PUNCT', 'NOUN', 'NOUN', 'VERB', 'ADV', 'VERB', 'ADV', 'ADP', 'DET', 'ADJ', 'NOUN', 'PUNCT', 'VERB', 'PROPN', 'PROPN']","Design : M_Crossed M_lines M_over the toytown tram : City transport could soon be M_back M_on the right M_track , says Jonathan Glancey",news
a3m-fragment02,47,"MODERN trams , as most continental Europeans know , neither shake nor rattle , nor do they roll .","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['PROPN', 'NOUN', 'PUNCT', 'ADP', 'ADJ', 'ADJ', 'PROPN', 'VERB', 'PUNCT', 'CCONJ', 'VERB', 'CCONJ', 'ADJ', 'PUNCT', 'CCONJ', 'VERB', 'PRON', 'VERB', 'PUNCT']","MODERN trams , as most continental Europeans know , neither shake nor rattle , nor do they roll .",news
a3m-fragment02,48,"Sleek , solidly built , gentle on the environment , they are often an ideal form of city transport .","[1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]","['ADJ', 'PUNCT', 'ADV', 'VERB', 'PUNCT', 'ADJ', 'ADP', 'DET', 'NOUN', 'PUNCT', 'PRON', 'VERB', 'ADV', 'DET', 'ADJ', 'NOUN', 'ADP', 'NOUN', 'NOUN', 'PUNCT']","M_Sleek , solidly built , M_gentle M_on the environment , they are often an ideal M_form of city transport .",news
a3m-fragment02,49,"They also exert a fascination very much of their own as they slither round circuses and brush through old city gates , flashing arcs of lightning as they switch tracks on winter nights .","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]","['PRON', 'ADV', 'VERB', 'DET', 'NOUN', 'ADV', 'ADJ', 'ADP', 'ADJ', 'ADJ', 'ADP', 'PRON', 'VERB', 'ADJ', 'NOUN', 'CCONJ', 'VERB', 'ADP', 'ADJ', 'NOUN', 'NOUN', 'PUNCT', 'VERB', 'NOUN', 'ADP', 'NOUN', 'ADP', 'PRON', 'VERB', 'NOUN', 'ADP', 'NOUN', 'NOUN', 'PUNCT']","They also M_exert a fascination very much of their own as they M_slither round circuses and M_brush through old city gates , flashing arcs of lightning as they switch tracks M_on winter nights .",news
a3m-fragment02,50,"Single-car , articulated or double-decker , trams are one of the most reliable and enduring forms of public transport invented .","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]","['NOUN', 'PUNCT', 'VERB', 'CCONJ', 'NOUN', 'PUNCT', 'NOUN', 'VERB', 'NUM', 'ADP', 'DET', 'ADV', 'ADJ', 'CCONJ', 'ADJ', 'NOUN', 'ADP', 'ADJ', 'NOUN', 'VERB', 'PUNCT']","Single-car , articulated or double-decker , trams are one of the most reliable and enduring M_forms of public transport invented .",news
a3m-fragment02,52,"Eventually they will be replaced , but more than 60 years on they run with the rhythmic reliability of a Swiss watch .","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0]","['ADV', 'PRON', 'VERB', 'VERB', 'VERB', 'PUNCT', 'CCONJ', 'ADJ', 'ADP', 'NUM', 'NOUN', 'ADP', 'PRON', 'VERB', 'ADP', 'DET', 'ADJ', 'NOUN', 'ADP', 'DET', 'ADJ', 'NOUN', 'PUNCT']","Eventually they will be replaced , but more than 60 years M_on they M_run M_with the M_rhythmic reliability of a Swiss watch .",news
a3m-fragment02,54,Last month it was announced that Britain will get its first new-wave trams in 1991 .,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0]","['ADJ', 'NOUN', 'PRON', 'VERB', 'VERB', 'ADP', 'PROPN', 'VERB', 'VERB', 'ADJ', 'ADJ', 'NOUN', 'NOUN', 'ADP', 'NUM', 'PUNCT']",Last month it was announced that Britain will M_get its first M_new-wave trams M_in 1991 .,news
a3m-fragment02,55,"Destined to run in Manchester , they will relieve traffic congestion and help to reduce the levels of carbon monoxide in the city centre , outlying suburbs and satellite towns of Bury , Altrincham , Salford , Oldham and Rochdale .","[1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['VERB', 'PART', 'VERB', 'ADP', 'PROPN', 'PUNCT', 'PRON', 'VERB', 'VERB', 'NOUN', 'NOUN', 'CCONJ', 'VERB', 'PART', 'VERB', 'DET', 'NOUN', 'ADP', 'NOUN', 'NOUN', 'ADP', 'DET', 'NOUN', 'NOUN', 'PUNCT', 'ADJ', 'NOUN', 'CCONJ', 'NOUN', 'NOUN', 'ADP', 'PROPN', 'PUNCT', 'PROPN', 'PUNCT', 'PROPN', 'PUNCT', 'PROPN', 'CCONJ', 'PROPN', 'PUNCT']","M_Destined to M_run in Manchester , they will M_relieve traffic M_congestion and M_help to M_reduce the M_levels of carbon monoxide in the city centre , outlying suburbs and M_satellite towns of Bury , Altrincham , Salford , Oldham and Rochdale .",news
a3m-fragment02,56,"In Britain , with the main exception of Blackpool ( not forgetting the single-deckers of the Isle of Man and Llandudno ) , trams had been largely relegated to the history books .","[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]","['ADP', 'PROPN', 'PUNCT', 'ADP', 'DET', 'ADJ', 'NOUN', 'ADP', 'PROPN', 'PUNCT', 'ADV', 'VERB', 'DET', 'NOUN', 'ADP', 'DET', 'PROPN', 'ADP', 'PROPN', 'CCONJ', 'PROPN', 'PUNCT', 'PUNCT', 'NOUN', 'VERB', 'VERB', 'ADV', 'VERB', 'ADP', 'DET', 'NOUN', 'NOUN', 'PUNCT']","In Britain , M_with the main exception of Blackpool ( not forgetting the single-deckers of the Isle of Man and Llandudno ) , trams had been largely relegated M_to the history books .",news
a3m-fragment02,57,"Otherwise , the best place to see working trams has been the tram museum at Crich in Derbyshire or else in old British Transport Commission films and Ealing comedies .","[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['ADV', 'PUNCT', 'DET', 'ADJ', 'NOUN', 'PART', 'VERB', 'VERB', 'NOUN', 'VERB', 'VERB', 'DET', 'NOUN', 'NOUN', 'ADP', 'PROPN', 'ADP', 'PROPN', 'CCONJ', 'ADV', 'ADP', 'ADJ', 'PROPN', 'PROPN', 'PROPN', 'NOUN', 'CCONJ', 'PROPN', 'NOUN', 'PUNCT']","Otherwise , the best place to see M_working trams has been the tram museum at Crich in Derbyshire or else M_in old British Transport Commission films and Ealing comedies .",news
